Listings,Price,Room Type,Reviews,Location
Large bedroom steps to subway,69,Private room,7 reviews,"Crown Heights, Brooklyn"
1 Bedroom Sunny Charming Apartment,120,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
Sunny Private Williamsburg room,100,Private room,8 reviews,"Williamsburg, Brooklyn"
Luminous 2BR in Park Slope NYC,169,Entire home/apt,10 reviews,"Park Slope, Brooklyn"
Large Cozy & Private! BRKLN HEIGHTS,100,Private room,18 reviews,"Brooklyn Heights, Brooklyn"
Beautiful Private Room by the park,80,Private room,3 reviews,"Williamsburg, Brooklyn"
Private Room in Modern Condo w/View,115,Private room,23 reviews,"Bedford-Stuyvesant, Brooklyn"
"Room & Breakfast, Steps to L Train",65,Private room,114 reviews,"Bushwick, Brooklyn"
Rare Historic Gem in Williamsburg,89,Private room,65 reviews,"Williamsburg, Brooklyn"
Beautiful central bright loft apt.,200,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Big BR in W'Burg - pvt terrace/view,99,Private room,26 reviews,"Williamsburg, Brooklyn"
Great Views Park Slope Barclay's,140,Entire home/apt,16 reviews,"Park Slope, Brooklyn"
"Huge factory loft, prime location",225,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Sunny bedroom in Bushwick + Rooftop,45,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Modern Penthouse Apt in Greenpoint,179,Entire home/apt,54 reviews,"Greenpoint, Brooklyn"
Stunning Room in Brooklyn New York,110,Private room,61 reviews,"Williamsburg, Brooklyn"
Beautiful 2 bedroom with Patio,200,Entire home/apt,4 reviews,"Prospect Heights, Brooklyn"
Bright BK studio apt (Ft. Greene),95,Entire home/apt,11 reviews,"Fort Greene, Brooklyn"
"Stylish 3 Bedrm, perfect for groups",171,Entire home/apt,17 reviews,"Prospect Heights, Brooklyn"
Quiet>Sunny>Views>Gym>Williamsburg,125,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Private room in a brownstone,80,Private room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
Lovely Bedrooms in Artist's Home,94,Private room,50 reviews,"Clinton Hill, Brooklyn"
Option of 2 Beds w Private Bathroom,58,Private room,33 reviews,"Bushwick, Brooklyn"
"LEGAL PARK SLOPE 4 BR, ROOF TERRACE",500,Entire home/apt,47 reviews,"Park Slope, Brooklyn"
Charming Cobble Hill apartment!,100,Private room,25 reviews,"Carroll Gardens, Brooklyn"
Cozy Top Floor Room of Brownstone,65,Private room,4 reviews,"Park Slope, Brooklyn"
"Unique Bushwick Loft, Great View!",75,Private room,13 reviews,"Williamsburg, Brooklyn"
Spacious & Sunny in Prime Brooklyn,150,Entire home/apt,25 reviews,"Clinton Hill, Brooklyn"
Palace in the Sky,295,Entire home/apt,15 reviews,"Williamsburg, Brooklyn"
NEW! Airy 2 Bedroom Brownstone,110,Entire home/apt,11 reviews,"Bedford-Stuyvesant, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,105,Private room,111 reviews,"Park Slope, Brooklyn"
Huge Apartment,400,Entire home/apt,O reviews,"Williamsburg, Brooklyn"
Adorable studio in Park Slope!,165,Entire home/apt,8 reviews,"Park Slope, Brooklyn"
Lovely Room in Gorgeous BK Brwnstn!,90,Private room,13 reviews,"Bedford-Stuyvesant, Brooklyn"
Historic House in Williamsburg,109,Private room,70 reviews,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,130,Entire home/apt,40 reviews,"Boerum Hill, Brooklyn"
BUDGET ROOM 15 MINUTES TO MANHATTAN,59,Private room,3 reviews,"Bushwick, Brooklyn"
FAB BKLYN ROOM&BATH&OWN ENTRANCE,110,Private room,49 reviews,"Fort Greene, Brooklyn"
9D Private Room in W'Burg,100,Private room,2 reviews,"Williamsburg, Brooklyn"
1 Blk to Subway + Prospect Park B,50,Private room,27 reviews,"Flatbush, Brooklyn"
Cheap Budget Private Room #1,39,Private room,2 reviews,"Bushwick, Brooklyn"
1 Blk to Subway + Prospect Park D,50,Private room,20 reviews,"Flatbush, Brooklyn"
Dream Loft 10 Min to Manhattan,95,Private room,17 reviews,"Williamsburg, Brooklyn"
Master Bedroom (Private Entrance),69,Private room,8 reviews,"Bushwick, Brooklyn"
Williamsburg Loft = Sunshine City!,180,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Spacious 1BR NYC home base in BKLN!,97,Entire home/apt,4 reviews,"Park Slope, Brooklyn"
Guestroom w/ 2 beds 20 mins to NYC,55,Private room,87 reviews,"Bushwick, Brooklyn"
Amazing Boerum Hill Apartment!,170,Entire home/apt,46 reviews,"Boerum Hill, Brooklyn"
Williamsburg 1 bedroom Apartment,135,Entire home/apt,48 reviews,"Williamsburg, Brooklyn"
Bright and Beautiful Brooklyn Apt.,139,Entire home/apt,35 reviews,"Park Slope, Brooklyn"
Sunny WILLIAMSBURG. Home Sweet Home,200,Entire home/apt,78 reviews,"Williamsburg, Brooklyn"
Private room in a brownstone,80,Private room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny 1BR with Terrace/City Views,169,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Best Location in Prospect Heights!,110,Entire home/apt,11 reviews,"Prospect Heights, Brooklyn"
Beautiful Private Room with Bath,65,Private room,43 reviews,"Bedford-Stuyvesant, Brooklyn"
Best Location: Every Subway Here!,69,Private room,50 reviews,"Park Slope, Brooklyn"
Red Brick Bungalow in NYC,108,Private room,9 reviews,"Carroll Gardens, Brooklyn"
"Williamsburg, Brooklyn NY",225,Entire home/apt,26 reviews,"Williamsburg, Brooklyn"
Skylight BR in Gorgeous Rooftop Apt,59,Private room,74 reviews,"Bushwick, Brooklyn"
Stunning! Williamsburg Dream Room.,110,Private room,49 reviews,"Williamsburg, Brooklyn"
Williamsburg Luxury-Steps To Subway,90,Private room,159 reviews,"Williamsburg, Brooklyn"
Amazing Boerum Hill Apartment!,170,Entire home/apt,46 reviews,"Boerum Hill, Brooklyn"
Beautiful Studio Apartment,95,Private room,27 reviews,"Park Slope, Brooklyn"
Convenient Spacious LUX with VIEW!,95,Private room,42 reviews,"Williamsburg, Brooklyn"
PRIVATE 2 BR SUITE N 2 STORY DUPLEX,69,Private room,13 reviews,"Williamsburg, Brooklyn"
"Delightful,Private,Brooklyn studio",90,Private room,112 reviews,"Bedford-Stuyvesant, Brooklyn"
NYC gorgeous private room and bath,72,Private room,71 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Room & Bath w/City Views,75,Private room,56 reviews,"Bedford-Stuyvesant, Brooklyn"
Charming studio apartment!,116,Entire home/apt,30 reviews,"Fort Greene, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,125,Entire home/apt,34 reviews,"Bedford-Stuyvesant, Brooklyn"
Your OWN Private Garden Apartment,120,Entire home/apt,12 reviews,"Clinton Hill, Brooklyn"
Best Bedroom with Private Bathroom,89,Private room,10 reviews,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,130,Entire home/apt,40 reviews,"Boerum Hill, Brooklyn"
